PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=1 ttl=43 time=308 ms
64 bytes from 130.149.17.21: icmp_seq=2 ttl=43 time=334 ms
64 bytes from 130.149.17.21: icmp_seq=3 ttl=43 time=359 ms
64 bytes from 130.149.17.21: icmp_seq=4 ttl=43 time=383 ms
64 bytes from 130.149.17.21: icmp_seq=5 ttl=43 time=505 ms
64 bytes from 130.149.17.21: icmp_seq=6 ttl=43 time=637 ms
64 bytes from 130.149.17.21: icmp_seq=7 ttl=43 time=655 ms
64 bytes from 130.149.17.21: icmp_seq=8 ttl=43 time=351 ms
64 bytes from 130.149.17.21: icmp_seq=9 ttl=43 time=359 ms
64 bytes from 130.149.17.21: icmp_seq=10 ttl=43 time=318 ms
64 bytes from 130.149.17.21: icmp_seq=11 ttl=43 time=547 ms
64 bytes from 130.149.17.21: icmp_seq=12 ttl=43 time=570 ms
64 bytes from 130.149.17.21: icmp_seq=13 ttl=43 time=631 ms
64 bytes from 130.149.17.21: icmp_seq=14 ttl=43 time=456 ms
64 bytes from 130.149.17.21: icmp_seq=15 ttl=43 time=540 ms
64 bytes from 130.149.17.21: icmp_seq=16 ttl=43 time=333 ms
64 bytes from 130.149.17.21: icmp_seq=17 ttl=43 time=381 ms
64 bytes from 130.149.17.21: icmp_seq=18 ttl=43 time=405 ms
64 bytes from 130.149.17.21: icmp_seq=19 ttl=43 time=322 ms
64 bytes from 130.149.17.21: icmp_seq=20 ttl=43 time=355 ms
64 bytes from 130.149.17.21: icmp_seq=21 ttl=43 time=373 ms
64 bytes from 130.149.17.21: icmp_seq=22 ttl=43 time=236 ms
64 bytes from 130.149.17.21: icmp_seq=23 ttl=43 time=307 ms
64 bytes from 130.149.17.21: icmp_seq=24 ttl=43 time=547 ms
64 bytes from 130.149.17.21: icmp_seq=25 ttl=43 time=570 ms
64 bytes from 130.149.17.21: icmp_seq=26 ttl=43 time=601 ms
64 bytes from 130.149.17.21: icmp_seq=27 ttl=43 time=412 ms
64 bytes from 130.149.17.21: icmp_seq=28 ttl=43 time=436 ms
64 bytes from 130.149.17.21: icmp_seq=29 ttl=43 time=267 ms
64 bytes from 130.149.17.21: icmp_seq=30 ttl=43 time=329 ms
64 bytes from 130.149.17.21: icmp_seq=31 ttl=43 time=405 ms
64 bytes from 130.149.17.21: icmp_seq=32 ttl=43 time=221 ms
64 bytes from 130.149.17.21: icmp_seq=33 ttl=43 time=349 ms
64 bytes from 130.149.17.21: icmp_seq=34 ttl=43 time=213 ms
64 bytes from 130.149.17.21: icmp_seq=35 ttl=43 time=192 ms
64 bytes from 130.149.17.21: icmp_seq=36 ttl=43 time=180 ms
64 bytes from 130.149.17.21: icmp_seq=37 ttl=43 time=184 ms
64 bytes from 130.149.17.21: icmp_seq=38 ttl=43 time=215 ms
64 bytes from 130.149.17.21: icmp_seq=39 ttl=43 time=284 ms
64 bytes from 130.149.17.21: icmp_seq=40 ttl=43 time=177 ms
64 bytes from 130.149.17.21: icmp_seq=41 ttl=43 time=227 ms
64 bytes from 130.149.17.21: icmp_seq=42 ttl=43 time=215 ms
64 bytes from 130.149.17.21: icmp_seq=43 ttl=43 time=408 ms
64 bytes from 130.149.17.21: icmp_seq=44 ttl=43 time=353 ms
64 bytes from 130.149.17.21: icmp_seq=45 ttl=43 time=424 ms
64 bytes from 130.149.17.21: icmp_seq=46 ttl=43 time=651 ms
64 bytes from 130.149.17.21: icmp_seq=47 ttl=43 time=329 ms
64 bytes from 130.149.17.21: icmp_seq=48 ttl=43 time=393 ms
64 bytes from 130.149.17.21: icmp_seq=49 ttl=43 time=211 ms
64 bytes from 130.149.17.21: icmp_seq=50 ttl=43 time=176 ms
64 bytes from 130.149.17.21: icmp_seq=51 ttl=43 time=257 ms
64 bytes from 130.149.17.21: icmp_seq=52 ttl=43 time=343 ms
64 bytes from 130.149.17.21: icmp_seq=53 ttl=43 time=200 ms
64 bytes from 130.149.17.21: icmp_seq=54 ttl=43 time=222 ms
64 bytes from 130.149.17.21: icmp_seq=55 ttl=43 time=245 ms
64 bytes from 130.149.17.21: icmp_seq=56 ttl=43 time=269 ms
64 bytes from 130.149.17.21: icmp_seq=57 ttl=43 time=292 ms
64 bytes from 130.149.17.21: icmp_seq=58 ttl=43 time=212 ms
64 bytes from 130.149.17.21: icmp_seq=59 ttl=43 time=236 ms
64 bytes from 130.149.17.21: icmp_seq=60 ttl=43 time=259 ms
64 bytes from 130.149.17.21: icmp_seq=61 ttl=43 time=281 ms
64 bytes from 130.149.17.21: icmp_seq=62 ttl=43 time=176 ms
64 bytes from 130.149.17.21: icmp_seq=63 ttl=43 time=329 ms
64 bytes from 130.149.17.21: icmp_seq=64 ttl=43 time=191 ms
64 bytes from 130.149.17.21: icmp_seq=65 ttl=43 time=188 ms
